id,title,authors,publisher,published_date,description,reading_modes,page_count,categories,language,is_ebook,epub_is_available,pdf_is_available,maturity_rating,public_domain,image_links,preview_link
SaqTPwAACAAJ,Contest,Matthew Reilly,Macmillan,2000,"Second edition of a science-fiction thriller set in the New York State Library, in which a doctor and his daughter unwittingly become involved in a deadly competition. Originally self-published in 1996. This edition includes some revisions and an author interview. Author has also written the international bestsellers 'Ice Station' and 'Temple'.",,352.0,['Albany (N.Y.)'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=SaqTPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=SaqTPwAACAAJ&dq=subject:action&hl=&cd=32&source=gbs_api
i7OUDgAAQBAJ,How to Draw MORE...Pirates,Ben Dunn,Antarctic Press,2009-04-14,"The ULTIMATE book on ""HOW to DRAW"" the awesome world of PIRATES! Taught with easy-to-follow, STEP-by-STEP instructions by top artists, you'll be creating your own pirates in no time at all! Prepare to sharpen those pencils and set sail on an adventure of artistic plundering!",image,130.0,['Art'],en,False,False,True,NOT_MATURE,False,http://books.google.com/books/content?id=i7OUDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=i7OUDgAAQBAJ&printsec=frontcover&dq=subject:action&hl=&cd=33&source=gbs_api
ruu_QgAACAAJ,Action TV,"Bill Osgerby, Anna Gough-Yates",Psychology Press,2001,"From re-runs of 'TV classics' like The Avengers or Starsky and Hutch, to soundtracks, club nights and film remakes such as Mission Impossible II, the action series is enjoying a popular revival. Yet little attention has been paid to the history, nature and enduring appeal of the action series, and its place in popular culture, past and present. Action TV traces the development of the action series from its genesis in the 1950s. From The Saint to Knigh t Rider, contributors explore the key shows which defined the genre, addressing issues of audiences and consumption, gender and sexuality, fashion and popular culture. They examine the institutional and cultural factors influencing the action series, and relate shifts in the genre to other forms of popular culture including film, pop music, fashion and popular literature. Chapters include: * Of leather suits and kinky boots: The Avengers, style and popular culture * 'Who loves ya, baby?': Kojak, action and the great society *'A lone crusader in a dangerous world': heroics of science and technology in Knight Rider * Angels in chains? feminism, femininity and consumer culture in Charlie's Angels * 'Who's the cat that won't cop out?' Black masculinity in American action shows of the sixties and seventies",,260.0,['Social Science'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=ruu_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=ruu_QgAACAAJ&dq=subject:action&hl=&cd=34&source=gbs_api
uHKmcQZ4lxAC,Moonraker,Ian Fleming,,2002,"The club where James Bond is asked to settle a dispute over ungentlemanly behaviour is embarrassed. The accused is the unimpeachable Sir Hugo Drax, head of the multi-million-pound Moonraker missile programme on which Britain's future depends.",,324.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=uHKmcQZ4lxAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=uHKmcQZ4lxAC&dq=subject:action&hl=&cd=35&source=gbs_api
if-pEAAAQBAJ,Saturday AM Annual 2024,Saturday AM,,2023-10-24,"Apple Black, Clock Striker, and more! Celebrate the diverse manga heroes of Saturday AM in original short stories from talented up-and-coming artists worldwide.",image,226.0,['Comics & Graphic Novels'],en,False,False,True,NOT_MATURE,False,http://books.google.com/books/content?id=if-pEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=if-pEAAAQBAJ&printsec=frontcover&dq=subject:action&hl=&cd=36&source=gbs_api
qDnNswEACAAJ,Charmed: a Thousand Deaths,Erica Schultz,,2017-10-24,"Dynamite Entertainment is proud to continue the story of Phoebe, Piper, and Paige, television's fan-favorite witches, in all-new adventures set within the official continuity of Charmed! A dark force has set its sights on the art world of San Francisco, utilizing a gallery exhibit to feed souls to the underworld and unleash demons into our reality. Only the Power of Three, harnessed by the Halliwell sisters, can stop the madness!",,0.0,['Art'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=qDnNswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=qDnNswEACAAJ&dq=subject:action&hl=&cd=37&source=gbs_api
fQi_QgAACAAJ,The Icarus Agenda,Robert Ludlum,,1988,Thriller set in the world of power politics. An unassuming Congressman from Colorado mediates in the release of 200 hostages from the Middle East.,,812.0,['American fiction'],en,False,False,False,NOT_MATURE,False,,http://books.google.com.br/books?id=fQi_QgAACAAJ&dq=subject:action&hl=&cd=38&source=gbs_api
W95CEAAAQBAJ,The Electric Black,"Joseph Schmalke, Rich Woodall",Simon and Schuster,2021-10-12,"The Electric Black is a horror series set in an antique shop that travels through time and space delivering cursed objects to unsuspecting customers. written and Illustrated by Joseph Schmalke and Rich Woodall published quarterly by Black Caravan a Scout Comics Imprint. The Electric Black is a cursed antique shop, appearing in any time or space, soliciting customers it hungers to corrupt or devour. The mysterious Julius Black is the store's demonic proprietor and narrator. He, along with his psychopathic employees, regularly manipulates patrons for their own devious purposes. Inside the eerie emporium, all of the forbidden objects have secrets to unlock. The poor souls that enter never leave without something. It's dark light will shine on macabre mysteries, grisly murders, and other frightful occurrences. Dare you step within its sinister halls?",,142.0,['Comics & Graphic Novels'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=W95CEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=W95CEAAAQBAJ&printsec=frontcover&dq=subject:action&hl=&cd=39&source=gbs_api
c1bGEAAAQBAJ,"Apple Black, Volume 4","Odunze Oguguo, Whyt Manga, Saturday AM",,2023-11-21,"""Apple Black follows the young sorcerer Sano as he struggles to fulfill his prophesied destiny as savior of the world known as the Trinity""--",image,226.0,['Comics & Graphic Novels'],en,True,False,True,NOT_MATURE,False,http://books.google.com/books/content?id=c1bGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=c1bGEAAAQBAJ&printsec=frontcover&dq=subject:action&hl=&cd=40&source=gbs_api
QXppQgAACAAJ,The Apocalypse Watch,Robert Ludlum,,1996,"Deep in the Hausruck Mountains of Austria there is a remote hideaway - the fortress-like nerve centre of an ominous movement, the Brotherhood of the Watch. American agent Harry Latham has penetrated the movement, but now, after three years in deep cover, he has disappeared.",,789.0,['Adventure stories'],en,False,False,False,NOT_MATURE,False,,http://books.google.com.br/books?id=QXppQgAACAAJ&dq=subject:action&hl=&cd=41&source=gbs_api
